episode,agent0_type,agent1_type,winner,agent0_score,agent1_score,total_moves,game_length,agent0_captures,agent1_captures,final_board_seeds,score_difference,winner_margin,agent0_epsilon,agent1_epsilon
4126,DQNLarge,QLearningAgent,QLearningAgent,4,44,30,30,4,44,29,40,40,0.995,0.999
4127,MinimaxAgent,DQNLarge,MinimaxAgent,26,2,71,71,26,2,20,24,24,N/A,0.995
4128,DQNSmall,DQNMedium,DQNMedium,17,26,98,98,17,26,5,9,9,0.995,0.995
4129,DQNLarge,HeuristicAgent,HeuristicAgent,15,33,164,164,15,33,21,18,18,0.995,N/A
4130,HeuristicAgent,DQNLarge,HeuristicAgent,26,22,109,109,26,22,23,4,4,N/A,0.995
4131,DQNLarge,DQNLarge,DQNLarge,27,21,109,109,27,21,6,6,6,0.995,0.995
4132,MinimaxAgent,GreedyAgent,MinimaxAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
4133,DQNSmall,DQNSmall,DQNSmall,7,26,82,82,7,26,15,19,19,0.995,0.995
4134,QLearningAgent,RandomAgent,RandomAgent,8,28,58,58,8,28,12,20,20,0.999,N/A
4135,DQNSmall,RandomAgent,RandomAgent,14,25,86,86,14,25,9,11,11,0.995,N/A
4136,DQNSmall,DQNSmall,DQNSmall,27,17,61,61,27,17,4,10,10,0.995,0.995
4137,QLearningAgent,DQNMedium,DQNMedium,12,27,110,110,12,27,9,15,15,0.999,0.995
4138,GreedyAgent,QLearningAgent,GreedyAgent,32,2,67,67,32,2,14,30,30,N/A,0.999
4139,QLearningAgent,DQNLarge,QLearningAgent,26,22,147,147,26,22,2,4,4,0.999,0.995
4140,HeuristicAgent,DQNLarge,HeuristicAgent,37,11,95,95,37,11,37,26,26,N/A,0.995
4141,RandomAgent,GreedyAgent,GreedyAgent,0,25,26,26,0,25,23,25,25,N/A,N/A
4142,DQNMedium,QLearningAgent,QLearningAgent,21,27,132,132,21,27,3,6,6,0.995,0.999
4143,QLearningAgent,MinimaxAgent,QLearningAgent,26,2,83,83,26,2,20,24,24,0.999,N/A
4144,RandomAgent,QLearningAgent,QLearningAgent,9,25,86,86,9,25,14,16,16,N/A,0.999
4145,QLearningAgent,DQNLarge,DQNLarge,22,26,164,164,22,26,3,4,4,0.999,0.995
4146,DQNMedium,DQNLarge,DQNLarge,19,25,116,116,19,25,4,6,6,0.995,0.995
4147,QLearningAgent,QLearningAgent,QLearningAgent,18,25,116,116,18,25,5,7,7,0.999,0.999
4148,DQNMedium,RandomAgent,DQNMedium,26,21,155,155,26,21,1,5,5,0.995,N/A
4149,DQNSmall,QLearningAgent,DQNSmall,27,18,125,125,27,18,3,9,9,0.995,0.999
4150,GreedyAgent,HeuristicAgent,GreedyAgent,26,15,49,49,26,15,7,11,11,N/A,N/A
4151,RandomAgent,RandomAgent,RandomAgent,29,19,97,97,29,19,7,10,10,N/A,N/A
4152,GreedyAgent,RandomAgent,GreedyAgent,25,6,57,57,25,6,17,19,19,N/A,N/A
4153,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
4154,DQNLarge,DQNLarge,DQNLarge,27,18,117,117,27,18,3,9,9,0.995,0.995
4155,QLearningAgent,DQNSmall,QLearningAgent,26,16,63,63,26,16,6,10,10,0.999,0.995
4156,DQNMedium,MinimaxAgent,DQNMedium,31,0,157,157,31,0,17,31,31,0.995,N/A
4157,DQNMedium,HeuristicAgent,DQNMedium,26,11,41,41,26,11,11,15,15,0.995,N/A
4158,MinimaxAgent,DQNLarge,MinimaxAgent,26,0,45,45,26,0,22,26,26,N/A,0.995
4159,RandomAgent,DQNSmall,DQNSmall,7,27,66,66,7,27,14,20,20,N/A,0.995
4160,QLearningAgent,RandomAgent,QLearningAgent,30,18,47,47,30,18,11,12,12,0.999,N/A
4161,HeuristicAgent,QLearningAgent,HeuristicAgent,48,0,49,49,48,0,48,48,48,N/A,0.999
4162,DQNLarge,GreedyAgent,GreedyAgent,8,28,52,52,8,28,12,20,20,0.995,N/A
4163,HeuristicAgent,DQNMedium,HeuristicAgent,43,5,129,129,43,5,41,38,38,N/A,0.995
4164,QLearningAgent,MinimaxAgent,QLearningAgent,30,3,77,77,30,3,15,27,27,0.999,N/A
4165,GreedyAgent,MinimaxAgent,GreedyAgent,25,0,47,47,25,0,23,25,25,N/A,N/A
4166,DQNLarge,GreedyAgent,GreedyAgent,0,48,32,32,0,48,42,48,48,0.995,N/A
4167,MinimaxAgent,DQNSmall,MinimaxAgent,48,0,31,31,48,0,27,48,48,N/A,0.995
4168,DQNSmall,DQNLarge,DQNSmall,34,14,75,75,34,14,13,20,20,0.995,0.995
4169,QLearningAgent,GreedyAgent,GreedyAgent,8,29,42,42,8,29,11,21,21,0.999,N/A
4170,QLearningAgent,MinimaxAgent,QLearningAgent,28,5,153,153,28,5,15,23,23,0.999,N/A
4171,RandomAgent,MinimaxAgent,RandomAgent,27,3,129,129,27,3,18,24,24,N/A,N/A
4172,QLearningAgent,DQNSmall,DQNSmall,5,25,52,52,5,25,18,20,20,0.999,0.995
4173,DQNMedium,GreedyAgent,GreedyAgent,6,28,54,54,6,28,14,22,22,0.995,N/A
4174,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
4175,HeuristicAgent,DQNLarge,HeuristicAgent,39,9,99,99,39,9,37,30,30,N/A,0.995
4176,HeuristicAgent,DQNLarge,HeuristicAgent,43,5,69,69,43,5,43,38,38,N/A,0.995
4177,DQNMedium,RandomAgent,DQNMedium,29,19,93,93,29,19,7,10,10,0.995,N/A
4178,DQNLarge,MinimaxAgent,DQNLarge,28,0,167,167,28,0,20,28,28,0.995,N/A
4179,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
4180,DQNMedium,DQNMedium,DQNMedium,25,23,219,219,25,23,3,2,2,0.995,0.995
4181,DQNLarge,RandomAgent,DQNLarge,25,14,71,71,25,14,9,11,11,0.995,N/A
4182,DQNSmall,MinimaxAgent,DQNSmall,26,0,219,219,26,0,22,26,26,0.995,N/A
4183,GreedyAgent,GreedyAgent,GreedyAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
4184,QLearningAgent,RandomAgent,QLearningAgent,27,11,93,93,27,11,10,16,16,0.999,N/A
4185,RandomAgent,MinimaxAgent,RandomAgent,28,6,175,175,28,6,14,22,22,N/A,N/A
4186,DQNLarge,MinimaxAgent,DQNLarge,26,4,239,239,26,4,18,22,22,0.995,N/A
4187,GreedyAgent,HeuristicAgent,GreedyAgent,26,15,49,49,26,15,7,11,11,N/A,N/A
4188,DQNMedium,DQNLarge,DQNLarge,23,25,116,116,23,25,3,2,2,0.995,0.995
4189,DQNLarge,DQNMedium,DQNMedium,18,30,74,74,18,30,7,12,12,0.995,0.995
4190,GreedyAgent,DQNSmall,GreedyAgent,25,2,35,35,25,2,21,23,23,N/A,0.995
4191,RandomAgent,DQNSmall,RandomAgent,25,23,119,119,25,23,4,2,2,N/A,0.995
4192,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
4193,DQNMedium,RandomAgent,DQNMedium,26,15,83,83,26,15,7,11,11,0.995,N/A
4194,HeuristicAgent,QLearningAgent,HeuristicAgent,46,2,45,45,46,2,32,44,44,N/A,0.999
4195,DQNMedium,HeuristicAgent,DQNMedium,26,10,183,183,26,10,12,16,16,0.995,N/A
4196,DQNLarge,MinimaxAgent,DQNLarge,28,2,205,205,28,2,18,26,26,0.995,N/A
4197,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
4198,DQNSmall,MinimaxAgent,DQNSmall,25,0,119,119,25,0,23,25,25,0.995,N/A
4199,QLearningAgent,DQNSmall,DQNSmall,10,38,44,44,10,38,16,28,28,0.999,0.995
4200,DQNSmall,QLearningAgent,QLearningAgent,22,26,120,120,22,26,10,4,4,0.995,0.999
4201,MinimaxAgent,GreedyAgent,MinimaxAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
4202,DQNLarge,QLearningAgent,QLearningAgent,23,25,180,180,23,25,2,2,2,0.995,0.999
4203,DQNLarge,DQNSmall,DQNLarge,27,19,71,71,27,19,2,8,8,0.995,0.995
4204,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
4205,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
4206,GreedyAgent,MinimaxAgent,GreedyAgent,25,0,47,47,25,0,23,25,25,N/A,N/A
4207,QLearningAgent,QLearningAgent,QLearningAgent,15,25,124,124,15,25,8,10,10,0.999,0.999
4208,DQNSmall,RandomAgent,DQNSmall,26,22,207,207,26,22,4,4,4,0.995,N/A
4209,DQNSmall,QLearningAgent,QLearningAgent,13,28,122,122,13,28,7,15,15,0.995,0.999
4210,DQNSmall,DQNMedium,DQNMedium,13,27,68,68,13,27,8,14,14,0.995,0.995
4211,DQNLarge,MinimaxAgent,DQNLarge,25,6,199,199,25,6,17,19,19,0.995,N/A
4212,DQNLarge,QLearningAgent,DQNLarge,25,7,67,67,25,7,16,18,18,0.995,0.999
4213,HeuristicAgent,GreedyAgent,GreedyAgent,4,44,44,44,4,44,37,40,40,N/A,N/A
4214,QLearningAgent,GreedyAgent,GreedyAgent,15,25,54,54,15,25,8,10,10,0.999,N/A
4215,DQNMedium,QLearningAgent,DQNMedium,25,12,83,83,25,12,11,13,13,0.995,0.999
4216,QLearningAgent,GreedyAgent,GreedyAgent,3,27,38,38,3,27,18,24,24,0.999,N/A
4217,HeuristicAgent,DQNLarge,HeuristicAgent,34,14,53,53,34,14,34,20,20,N/A,0.995
4218,RandomAgent,DQNLarge,RandomAgent,29,13,99,99,29,13,6,16,16,N/A,0.995
4219,GreedyAgent,QLearningAgent,GreedyAgent,25,3,43,43,25,3,20,22,22,N/A,0.999
4220,MinimaxAgent,RandomAgent,MinimaxAgent,48,0,41,41,48,0,29,48,48,N/A,N/A
4221,MinimaxAgent,GreedyAgent,MinimaxAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
4222,GreedyAgent,DQNSmall,GreedyAgent,25,17,65,65,25,17,6,8,8,N/A,0.995
4223,GreedyAgent,QLearningAgent,GreedyAgent,25,4,53,53,25,4,19,21,21,N/A,0.999
4224,DQNSmall,RandomAgent,RandomAgent,21,27,140,140,21,27,8,6,6,0.995,N/A
4225,HeuristicAgent,RandomAgent,HeuristicAgent,30,11,59,59,30,11,7,19,19,N/A,N/A
4226,DQNSmall,DQNLarge,DQNSmall,29,13,107,107,29,13,6,16,16,0.995,0.995
4227,QLearningAgent,GreedyAgent,GreedyAgent,0,25,24,24,0,25,23,25,25,0.999,N/A
4228,QLearningAgent,GreedyAgent,GreedyAgent,0,26,24,24,0,26,22,26,26,0.999,N/A
4229,DQNMedium,DQNMedium,DQNMedium,15,33,58,58,15,33,15,18,18,0.995,0.995
